action_counter_0,action_counter_1,action_counter_2,fruits_eaten,mean_reward,sum_episode_rewards,termination_reason,timesteps_survived
14,21,8,2,0.18604651162790697,8,hit_own_body,43
18,7,14,2,0.20512820512820512,8,hit_wall,39
6,1,1,1,0.375,3,hit_wall,8
9,4,5,0,-0.05555555555555555,-1,hit_wall,18
9,5,3,2,0.47058823529411764,8,hit_wall,17
5,5,7,1,0.17647058823529413,3,hit_wall,17
6,4,6,1,0.1875,3,hit_wall,16
35,35,37,3,0.1308411214953271,14,hit_wall,107
3,2,2,0,-0.14285714285714285,-1,hit_wall,7
7,9,4,1,0.15,3,hit_wall,20
1,6,5,0,-0.08333333333333333,-1,hit_wall,12
1,6,6,0,-0.07692307692307693,-1,hit_wall,13
35,23,48,2,0.07547169811320754,8,hit_own_body,106
15,20,17,1,0.057692307692307696,3,hit_wall,52
12,35,29,1,0.039473684210526314,3,hit_wall,76
5,7,10,1,0.13636363636363635,3,hit_wall,22
25,22,20,3,0.208955223880597,14,hit_wall,67
28,18,34,3,0.175,14,hit_own_body,80
4,11,14,1,0.10344827586206896,3,hit_wall,29
25,25,30,1,0.0375,3,hit_wall,80
16,19,8,3,0.32558139534883723,14,hit_own_body,43
21,49,22,1,0.03260869565217391,3,hit_wall,92
5,18,9,1,0.09375,3,hit_wall,32
10,8,9,2,0.2962962962962963,8,hit_own_body,27
6,21,4,0,-0.03225806451612903,-1,hit_wall,31
6,12,15,2,0.24242424242424243,8,hit_wall,33
7,23,8,0,-0.02631578947368421,-1,hit_wall,38
7,21,14,1,0.07142857142857142,3,hit_wall,42
9,21,14,0,-0.022727272727272728,-1,hit_wall,44
36,29,38,2,0.07766990291262135,8,hit_wall,103
11,20,13,2,0.18181818181818182,8,hit_own_body,44
5,8,5,1,0.16666666666666666,3,hit_wall,18
5,2,2,0,-0.1111111111111111,-1,hit_wall,9
6,11,7,0,-0.041666666666666664,-1,hit_wall,24
17,17,14,1,0.0625,3,hit_wall,48
8,12,8,1,0.10714285714285714,3,hit_wall,28
3,4,3,0,-0.1,-1,hit_wall,10
9,12,43,3,0.21875,14,hit_own_body,64
16,26,21,2,0.12698412698412698,8,hit_own_body,63
15,12,14,2,0.1951219512195122,8,hit_wall,41
15,16,21,2,0.15384615384615385,8,hit_wall,52
27,16,17,2,0.13333333333333333,8,hit_own_body,60
9,6,14,1,0.10344827586206896,3,hit_wall,29
13,8,2,2,0.34782608695652173,8,hit_own_body,23
14,18,15,2,0.1702127659574468,8,hit_wall,47
5,11,7,2,0.34782608695652173,8,hit_own_body,23
3,8,7,0,-0.05555555555555555,-1,hit_wall,18
54,41,61,3,0.08974358974358974,14,hit_own_body,156
13,12,17,1,0.07142857142857142,3,hit_wall,42
8,8,11,2,0.2962962962962963,8,hit_wall,27
6,11,10,1,0.1111111111111111,3,hit_wall,27
3,3,16,0,-0.045454545454545456,-1,hit_wall,22
29,47,36,2,0.07142857142857142,8,hit_wall,112
38,32,39,2,0.07339449541284404,8,hit_wall,109
5,4,5,1,0.21428571428571427,3,hit_wall,14
17,38,32,2,0.09195402298850575,8,hit_own_body,87
7,22,13,1,0.07142857142857142,3,hit_wall,42
5,9,20,1,0.08823529411764706,3,hit_wall,34
8,9,18,2,0.22857142857142856,8,hit_own_body,35
10,10,9,1,0.10344827586206896,3,hit_wall,29
13,21,20,4,0.3888888888888889,21,hit_own_body,54
24,35,25,2,0.09523809523809523,8,hit_own_body,84
30,36,56,3,0.11475409836065574,14,hit_own_body,122
12,20,11,1,0.06976744186046512,3,hit_wall,43
6,8,10,0,-0.041666666666666664,-1,hit_wall,24
3,4,3,0,-0.1,-1,hit_wall,10
7,2,3,0,-0.08333333333333333,-1,hit_wall,12
22,17,26,0,-0.015384615384615385,-1,hit_wall,65
30,52,48,2,0.06153846153846154,8,hit_own_body,130
5,10,6,1,0.14285714285714285,3,hit_wall,21
4,2,9,2,0.5333333333333333,8,hit_own_body,15
4,8,9,2,0.38095238095238093,8,hit_wall,21
7,7,7,0,-0.047619047619047616,-1,hit_wall,21
27,46,41,1,0.02631578947368421,3,hit_wall,114
12,12,20,0,-0.022727272727272728,-1,hit_wall,44
15,15,19,1,0.061224489795918366,3,hit_wall,49
3,5,4,0,-0.08333333333333333,-1,hit_wall,12
8,5,10,0,-0.043478260869565216,-1,hit_wall,23
16,18,11,2,0.17777777777777778,8,hit_wall,45
32,26,29,3,0.16091954022988506,14,hit_wall,87
13,12,17,1,0.07142857142857142,3,hit_wall,42
18,32,27,2,0.1038961038961039,8,hit_wall,77
7,5,6,1,0.16666666666666666,3,hit_wall,18
11,20,23,2,0.14814814814814814,8,hit_wall,54
16,25,29,2,0.11428571428571428,8,hit_own_body,70
14,37,25,3,0.18421052631578946,14,hit_wall,76
22,27,22,2,0.11267605633802817,8,hit_own_body,71
7,10,8,0,-0.04,-1,hit_wall,25
28,30,25,2,0.0963855421686747,8,hit_own_body,83
